,keyword,type,url,postdate,upddate,floor,price
0,永利中心,P,https://property.hk/asking_detail/4178747.html,2021-12-30,2021-12-30,NA,"$960,000.00"
1,永利中心,P,https://property.hk/asking_detail/4119333.html,2021-10-30,2021-10-24,低層 6,"$1,300,000.00"
2,永利中心,P,https://property.hk/asking_detail/4109966.html,2021-10-12,2021-10-12,NA,"$980,000.00"
